"Division","Pool","Rank","Team","Games","Wins","Losses","GoalsFor","GoalsAgainst","GoalsDiff"
"Mixed 1. Liga","Relegationsspiele (11-14)","3","Maultaschen","1","1","0","15","10","5"
"Mixed 1. Liga","Relegationsspiele (11-14)","4","ULMtimates","1","0","1","10","15","-5"
"Mixed 1. Liga","Spiel um Platz 15","1","Disc-o-Fever","1","1","0","15","14","1"
"Mixed 1. Liga","Spiel um Platz 15","2","Tiefseetaucher","1","0","1","14","15","-1"
"Mixed 2. Liga Nord","Pool A","1","Nullacht! Ultimate Münster","7","7","0","102","51","51"
"Mixed 2. Liga Nord","Pool A","2","Tekielas","7","5","2","95","76","19"
"Mixed 2. Liga Nord","Pool A","3","Hucks Ultimate Club Berlin","7","5","2","100","62","38"
"Mixed 2. Liga Nord","Pool A","4","Bonobos","7","4","3","87","65","22"
"Mixed 2. Liga Nord","Pool A","5","Frizzly Bears","7","3","4","74","73","1"
"Mixed 2. Liga Nord","Pool A","6","Family Ultimate","7","3","4","82","78","4"
"Mixed 2. Liga Nord","Pool A","7","Frühmix","7","1","6","60","90","-30"
"Mixed 2. Liga Nord","Pool A","8","Endzonis","7","0","7","0","105","-105"
"Mixed 2. Liga Nord","Round Robin 1-4","1","Nullacht! Ultimate Münster","6","5","1","85","62","23"
"Mixed 2. Liga Nord","Round Robin 1-4","2","Hucks Ultimate Club Berlin","6","4","2","85","65","20"
"Mixed 2. Liga Nord","Round Robin 1-4","3","Bonobos","6","2","4","57","74","-17"
"Mixed 2. Liga Nord","Round Robin 1-4","4","Tekielas","6","1","5","63","89","-26"
"Mixed 2. Liga Nord","Round Robin 5-8","1","Frizzly Bears","6","6","0","90","36","54"
"Mixed 2. Liga Nord","Round Robin 5-8","2","Family Ultimate","6","3","3","76","52","24"
"Mixed 2. Liga Nord","Round Robin 5-8","3","Frühmix","6","3","3","70","58","12"
"Mixed 2. Liga Nord","Round Robin 5-8","4","Endzonis","6","0","6","0","90","-90"
"Mixed 2. Liga Süd","Pool A","1","Monaco Mix","7","7","0","105","54","51"
"Mixed 2. Liga Süd","Pool A","2","Next Generation","7","4","3","92","78","14"
"Mixed 2. Liga Süd","Pool A","3","Team Südsee","7","4","3","86","83","3"
"Mixed 2. Liga Süd","Pool A","4","Frisbee Fieber","7","4","3","91","86","5"
"Mixed 2. Liga Süd","Pool A","5","Paradisco Jena","7","3","4","86","91","-5"
"Mixed 2. Liga Süd","Pool A","6","Wurfkultur Bamberg","7","3","4","81","88","-7"
"Mixed 2. Liga Süd","Pool A","7","Heidees","7","2","5","74","97","-23"
"Mixed 2. Liga Süd","Pool A","8","Colorados","7","1","6","66","104","-38"
"Mixed 2. Liga Süd","Round Robin 1-4","1","Monaco Mix","6","5","1","86","62","24"
"Mixed 2. Liga Süd","Round Robin 1-4","2","Next Generation","6","5","1","84","69","15"
"Mixed 2. Liga Süd","Round Robin 1-4","3","Frisbee Fieber","6","1","5","64","84","-20"
"Mixed 2. Liga Süd","Round Robin 1-4","4","Team Südsee","6","1","5","62","81","-19"
"Mixed 2. Liga Süd","Round Robin 5-8","1","Wurfkultur Bamberg","6","4","2","84","68","16"
"Mixed 2. Liga Süd","Round Robin 5-8","2","Paradisco Jena","6","4","2","82","69","13"
"Mixed 2. Liga Süd","Round Robin 5-8","3","Colorados","6","2","4","69","85","-16"
"Mixed 2. Liga Süd","Round Robin 5-8","4","Heidees","6","2","4","71","84","-13"
"Mixed 3. Liga NW","Pool A","1","Göttinger 7","7","7","0","104","51","53"
"Mixed 3. Liga NW","Pool A","2","Hamburg Sturmflut 2","7","5","2","98","69","29"
"Mixed 3. Liga NW","Pool A","3","Bonnsai","7","5","2","90","63","27"
"Mixed 3. Liga NW","Pool A","4","Funatics","7","3","4","76","89","-13"
"Mixed 3. Liga NW","Pool A","5","Endzonengammler Essen","7","3","4","77","95","-18"
"Mixed 3. Liga NW","Pool A","6","DU bist Frisbee","7","3","4","84","94","-10"
"Mixed 3. Liga NW","Pool A","7","Fischkutter","7","1","6","63","102","-39"
"Mixed 3. Liga NW","Pool A","8","Hamburg Alsters","7","1","6","71","100","-29"
"Mixed 3. Liga NW","Playoffs 1-4","1","Göttinger 7","1","1","0","15","8","7"
"Mixed 3. Liga NW","Playoffs 1-4","2","Funatics","1","0","1","8","15","-7"
"Mixed 3. Liga NW","Playoffs 1-4","3","Bonnsai","1","1","0","15","10","5"
"Mixed 3. Liga NW","Playoffs 1-4","4","Hamburg Sturmflut 2","1","0","1","10","15","-5"
"Mixed 3. Liga NW","Round Robin 1-4","1","DU bist Frisbee","6","5","1","88","70","18"
"Mixed 3. Liga NW","Round Robin 1-4","2","Endzonengammler Essen","6","3","3","79","72","7"
"Mixed 3. Liga NW","Round Robin 1-4","3","Fischkutter","6","2","4","57","82","-25"
"Mixed 3. Liga NW","Round Robin 1-4","4","Hamburg Alsters","6","2","4","76","76","0"
"Mixed 3. Liga NO","Pool A","1","BRLO Ultmte Berlin","7","7","0","105","51","54"
"Mixed 3. Liga NO","Pool A","2","Saxy Divers","7","6","1","92","71","21"
"Mixed 3. Liga NO","Pool A","3","Hallunken","7","4","3","90","78","12"
"Mixed 3. Liga NO","Pool A","4","Hund Flach Werfen","7","4","3","95","72","23"
"Mixed 3. Liga NO","Pool A","5","Drehst'n Deckel","7","4","3","80","87","-7"
"Mixed 3. Liga NO","Pool A","6","Red Eagles","7","2","5","70","98","-28"
"Mixed 3. Liga NO","Pool A","7","Goldfingers","7","1","6","69","100","-31"
"Mixed 3. Liga NO","Pool A","8","Griffin's Lehre","7","0","7","61","105","-44"
"Mixed 3. Liga NO","Playoffs 1-4","1","BRLO Ultmte Berlin","1","1","0","15","10","5"
"Mixed 3. Liga NO","Playoffs 1-4","2","Hund Flach Werfen","1","0","1","10","15","-5"
"Mixed 3. Liga NO","Playoffs 1-4","3","Hallunken","1","1","0","13","11","2"
"Mixed 3. Liga NO","Playoffs 1-4","4","Saxy Divers","1","0","1","11","13","-2"
"Mixed 3. Liga NO","Playoffs 1-4 Finals","1","BRLO Ultmte Berlin","1","1","0","15","2","13"
"Mixed 3. Liga NO","Playoffs 1-4 Finals","2","Hallunken","1","0","1","2","15","-13"
"Mixed 3. Liga NO","Playoffs 1-4 Finals","3","Hund Flach Werfen","1","1","0","15","13","2"
"Mixed 3. Liga NO","Playoffs 1-4 Finals","4","Saxy Divers","1","0","1","13","15","-2"
"Mixed 3. Liga NO","Round Robin 5-8","1","Drehst'n Deckel","6","5","1","85","62","23"
"Mixed 3. Liga NO","Round Robin 5-8","2","Red Eagles","6","4","2","78","75","3"
"Mixed 3. Liga NO","Round Robin 5-8","3","Griffin's Lehre","6","2","4","69","79","-10"
"Mixed 3. Liga NO","Round Robin 5-8","4","Goldfingers","6","1","5","66","82","-16"
"Mixed 3. Liga SW","Pool A","1","Ars Ludendi","5","4","1","68","38","30"
"Mixed 3. Liga SW","Pool A","2","Feldmädchen","5","4","1","58","49","9"
"Mixed 3. Liga SW","Pool A","3","Flying Igels","5","3","2","57","51","6"
"Mixed 3. Liga SW","Pool A","4","Himmelstürmer","5","2","3","53","60","-7"
"Mixed 3. Liga SW","Pool A","5","Hechte","5","1","4","43","63","-20"
"Mixed 3. Liga SW","Pool A","6","Friendly Fire","5","1","4","50","68","-18"
"Mixed 3. Liga SW","Runde 2","1","Ars Ludendi","10","9","1","143","85","58"
"Mixed 3. Liga SW","Runde 2","2","Feldmädchen","10","7","3","122","109","13"
"Mixed 3. Liga SW","Runde 2","3","Himmelstürmer","10","5","5","122","114","8"
"Mixed 3. Liga SW","Runde 2","4","Flying Igels","10","5","5","115","113","2"
"Mixed 3. Liga SW","Runde 2","5","Hechte","10","2","8","88","130","-42"
"Mixed 3. Liga SW","Runde 2","6","Friendly Fire","10","2","8","100","139","-39"
"Mixed 3. Liga SO","Pool A","1","MINT","4","4","0","57","15","42"
"Mixed 3. Liga SO","Pool A","2","Ratisbona Eagles","4","3","1","49","19","30"
"Mixed 3. Liga SO","Pool A","3","Seichtwasserschnorchler","4","2","2","38","39","-1"
"Mixed 3. Liga SO","Pool A","4","Unwucht","4","1","3","33","44","-11"
"Mixed 3. Liga SO","Pool A","5","Ultimate am See","4","0","4","0","60","-60"
"Mixed 3. Liga SO","Rückrunde","1","MINT","8","8","0","114","40","74"
"Mixed 3. Liga SO","Rückrunde","2","Ratisbona Eagles","8","6","2","107","44","63"
"Mixed 3. Liga SO","Rückrunde","3","Seichtwasserschnorchler","8","4","4","80","76","4"
"Mixed 3. Liga SO","Rückrunde","4","Unwucht","8","2","6","68","89","-21"
"Mixed 3. Liga SO","Rückrunde","5","Ultimate am See","8","0","8","0","120","-120"
"Mixed 4. Liga NW","Round-Robin","1","Torpedo Phoenix","2","2","0","30","9","21"
"Mixed 4. Liga NW","Round-Robin","2","Farmers Lüneburg","2","1","1","19","26","-7"
"Mixed 4. Liga NW","Round-Robin","3","Nullacht! Ultimate Münster II","2","0","2","16","30","-14"
"Mixed 4. Liga NW","Rückrunde","1","Torpedo Phoenix","4","4","0","60","18","42"
"Mixed 4. Liga NW","Rückrunde","2","Farmers Lüneburg","4","2","2","39","49","-10"
"Mixed 4. Liga NW","Rückrunde","3","Nullacht! Ultimate Münster II","4","0","4","28","60","-32"
"Mixed 4. Liga NO","Pool A","1","Schleudertrauma","4","3","1","54","29","25"
"Mixed 4. Liga NO","Pool A","2","RotoR Ultimate Berlin","4","3","1","52","30","22"
"Mixed 4. Liga NO","Pool A","3","Parkscheibe","4","3","1","50","29","21"
"Mixed 4. Liga NO","Pool A","4","DiscUrs","4","1","3","37","45","-8"
"Mixed 4. Liga NO","Pool A","5","Stoneheads","4","0","4","0","60","-60"
"Mixed 4. Liga NO","Rückrunde","1","Parkscheibe","8","7","1","109","56","53"
"Mixed 4. Liga NO","Rückrunde","2","RotoR Ultimate Berlin","8","5","3","102","64","38"
"Mixed 4. Liga NO","Rückrunde","3","Schleudertrauma","8","5","3","101","70","31"
"Mixed 4. Liga NO","Rückrunde","4","DiscUrs","8","3","5","86","88","-2"
"Mixed 4. Liga NO","Rückrunde","5","Stoneheads","8","0","8","0","120","-120"
"Mixed Masters","Round Robin","1","Goldfingers","3","2","1","42","26","16"
"Mixed Masters","Round Robin","2","TiB Mixed Masters","3","2","1","35","32","3"
"Mixed Masters","Round Robin","3","Old Main Line","3","2","1","37","36","1"
"Mixed Masters","Round Robin","4","Torpedo Phoenix","3","0","3","25","45","-20"
"Mixed Masters","Playoffs","1","Goldfingers","1","1","0","15","3","12"
"Mixed Masters","Playoffs","2","Torpedo Phoenix","1","0","1","3","15","-12"
"Mixed Masters","Playoffs","3","TiB Mixed Masters","1","1","0","15","12","3"
"Mixed Masters","Playoffs","4","Old Main Line","1","0","1","12","15","-3"
"Open Masters","Round Robin","1","Goldfingers","4","4","0","60","30","30"
"Open Masters","Round Robin","2","Heidees","4","3","1","55","47","8"
"Open Masters","Round Robin","3","Sugar Daddies","4","2","2","45","47","-2"
"Open Masters","Round Robin","4","Family Ultimate","4","1","3","38","59","-21"
"Open Masters","Round Robin","5","Frühsport 0,2","4","0","4","45","60","-15"
"Open Masters","Finale","1","Goldfingers","1","1","0","15","11","4"
"Open Masters","Finale","2","Heidees","1","0","1","11","15","-4"
"Open Grandmasters","Round Robin","1","Feldrentner","4","4","0","60","35","25"
"Open Grandmasters","Round Robin","2","Wolpertinger GM","4","3","1","52","42","10"
"Open Grandmasters","Round Robin","3","NextGen Nürnberg","4","2","2","54","47","7"
"Open Grandmasters","Round Robin","4","TeKielas","4","1","3","37","59","-22"
"Open Grandmasters","Round Robin","5","Wegwerfgesellschaft","4","0","4","40","60","-20"
"Open Grandmasters","Finale","1","Feldrentner","1","1","0","15","7","8"
"Open Grandmasters","Finale","2","Wolpertinger GM","1","0","1","7","15","-8"
"DFV-Pokal Open","Vorrunde 1","1"," Bad Skid","1","1","0","15","5","10"
"DFV-Pokal Open","Vorrunde 1","2","Wall City","1","0","1","5","15","-10"
"DFV-Pokal Open","Vorrunde 1","3","M.U.C.","1","1","0","15","7","8"
"DFV-Pokal Open","Vorrunde 1","4","Hässliche Erdferkel","1","0","1","7","15","-8"
"DFV-Pokal Open","Vorrunde 1","5","Heidees","1","1","0","15","13","2"
"DFV-Pokal Open","Vorrunde 1","6","Family Ultimate","1","0","1","13","15","-2"
"DFV-Pokal Open","Vorrunde 1","7","FrankN","1","1","0","15","13","2"
"DFV-Pokal Open","Vorrunde 1","8","7 Schwaben","1","0","1","13","15","-2"
"DFV-Pokal Open","Vorrunde 1","9","Frizzly Bears","1","1","0","15","9","6"
"DFV-Pokal Open","Vorrunde 1","10","2MUCL","1","0","1","9","15","-6"
"DFV-Pokal Open","Vorrunde 1","11","Hardfisch","1","1","0","15","8","7"
"DFV-Pokal Open","Vorrunde 1","12","Disckick","1","0","1","8","15","-7"
"DFV-Pokal Open","Vorrunde 1","13","Hucks Ultimate Berlin","1","1","0","15","12","3"
"DFV-Pokal Open","Vorrunde 1","14","Kiel2","1","0","1","12","15","-3"
"DFV-Pokal Open","Vorrunde 1","15","Ars Ludendi","1","1","0","15","8","7"
"DFV-Pokal Open","Vorrunde 1","16","Funatics","1","0","1","8","15","-7"
"DFV-Pokal Open","Vorrunde 2","1"," Bad Skid","1","1","0","15","8","7"
"DFV-Pokal Open","Vorrunde 2","2","Heidees","1","0","1","8","15","-7"
"DFV-Pokal Open","Vorrunde 2","3","M.U.C.","1","1","0","15","10","5"
"DFV-Pokal Open","Vorrunde 2","4","FrankN","1","0","1","10","15","-5"
"DFV-Pokal Open","Vorrunde 2","5","7 Schwaben","1","1","0","15","5","10"
"DFV-Pokal Open","Vorrunde 2","6","Hucks Ultimate Berlin","1","0","1","5","15","-10"
"DFV-Pokal Open","Vorrunde 2","7","Family Ultimate","1","1","0","15","10","5"
"DFV-Pokal Open","Vorrunde 2","8","Ars Ludendi","1","0","1","10","15","-5"
"DFV-Pokal Open","Vorrunde 2","9","Frizzly Bears","1","1","0","15","13","2"
"DFV-Pokal Open","Vorrunde 2","10","Hässliche Erdferkel","1","0","1","13","15","-2"
"DFV-Pokal Open","Vorrunde 2","11","Hardfisch","1","1","0","15","14","1"
"DFV-Pokal Open","Vorrunde 2","12","Wall City","1","0","1","14","15","-1"
"DFV-Pokal Open","Vorrunde 2","13","Disckick","1","1","0","15","9","6"
"DFV-Pokal Open","Vorrunde 2","14","Funatics","1","0","1","9","15","-6"
"DFV-Pokal Open","Vorrunde 2","15","Kiel2","1","1","0","15","12","3"
"DFV-Pokal Open","Vorrunde 2","16","2MUCL","1","0","1","12","15","-3"
"DFV-Pokal Open","Finale 1-8","1"," Bad Skid","1","1","0","15","4","11"
"DFV-Pokal Open","Finale 1-8","2","Frizzly Bears","1","0","1","4","15","-11"
"DFV-Pokal Open","Finale 1-8","3","Family Ultimate","1","1","0","15","13","2"
"DFV-Pokal Open","Finale 1-8","4","FrankN","1","0","1","13","15","-2"
"DFV-Pokal Open","Finale 1-8","5","M.U.C.","1","1","0","15","14","1"
"DFV-Pokal Open","Finale 1-8","6","Hardfisch","1","0","1","14","15","-1"
"DFV-Pokal Open","Finale 1-8","7","7 Schwaben","1","1","0","15","9","6"
"DFV-Pokal Open","Finale 1-8","8","Heidees","1","0","1","9","15","-6"
"DFV-Pokal Open","Finale 9-16","1","Hässliche Erdferkel","1","1","0","15","14","1"
"DFV-Pokal Open","Finale 9-16","2","Funatics","1","0","1","14","15","-1"
"DFV-Pokal Open","Finale 9-16","3","Ars Ludendi","1","1","0","15","8","7"
"DFV-Pokal Open","Finale 9-16","4","Kiel2","1","0","1","8","15","-7"
"DFV-Pokal Open","Finale 9-16","5","Wall City","1","1","0","15","7","8"
"DFV-Pokal Open","Finale 9-16","6","2MUCL","1","0","1","7","15","-8"
"DFV-Pokal Open","Finale 9-16","7","Disckick","1","1","0","15","10","5"
"DFV-Pokal Open","Finale 9-16","8","Hucks Ultimate Berlin","1","0","1","10","15","-5"
"DFV-Pokal Damen","Pool A","1","Mainzelmädchen","2","2","0","30","12","18"
"DFV-Pokal Damen","Pool A","2","JinX","2","1","1","22","15","7"
"DFV-Pokal Damen","Pool A","3","Frankas","2","0","2","5","30","-25"
"DFV-Pokal Damen","Pool B","1","Woodchicas","2","2","0","30","24","6"
"DFV-Pokal Damen","Pool B","2","Heidelbärchen","2","1","1","29","21","8"
"DFV-Pokal Damen","Pool B","3","Black Foxx","2","0","2","16","30","-14"
"DFV-Pokal Damen","Zwischenrunde","1","JinX","1","1","0","15","6","9"
"DFV-Pokal Damen","Zwischenrunde","2","Black Foxx","1","0","1","6","15","-9"
"DFV-Pokal Damen","Zwischenrunde","3","Heidelbärchen","1","1","0","15","2","13"
"DFV-Pokal Damen","Zwischenrunde","4","Frankas","1","0","1","2","15","-13"
"DFV-Pokal Damen","Finale 1-4","1","Mainzelmädchen","1","1","0","15","11","4"
"DFV-Pokal Damen","Finale 1-4","2","Heidelbärchen","1","0","1","11","15","-4"
"DFV-Pokal Damen","Finale 1-4","3","Woodchicas","1","1","0","15","9","6"
"DFV-Pokal Damen","Finale 1-4","4","JinX","1","0","1","9","15","-6"
"DFV-Pokal Damen","Spiel um Platz 5","1","Black Foxx","1","1","0","13","12","1"
"DFV-Pokal Damen","Spiel um Platz 5","2","Frankas","1","0","1","12","13","-1"
"U20 Quali SW","Round Robin","1","Lions","2","2","0","19","7","12"
"U20 Quali SW","Round Robin","2","ToGetHer","2","0","2","7","19","-12"
"U20 Quali NW","Round Robin","1","Äitschbees","6","6","0","44","17","27"
"U20 Quali NW","Round Robin","2","UFO","6","4","2","39","29","10"
"U20 Quali NW","Round Robin","3","Nullacht! Ultimate","6","4","2","36","26","10"
"U20 Quali NW","Round Robin","4","Cologne Colibris","6","3","3","32","33","-1"
"U20 Quali NW","Round Robin","5","Seans's Sheep","6","2","4","34","34","0"
"U20 Quali NW","Round Robin","6","TV Südkamen","6","2","4","31","34","-3"
"U20 Quali NW","Round Robin","7","FischbeesNEXT","6","0","6","6","49","-43"
"U20 Quali NO","Round Robin","1","Disckick","2","1","1","17","16","1"
"U20 Quali NO","Round Robin","2","Pizza Volante","2","1","1","16","17","-1"
"U20 Quali SO","Round Robin","1","Isarrunners","2","2","0","26","7","19"
"U20 Quali SO","Round Robin","2","Münchner Kindl U20","2","1","1","14","18","-4"
"U20 Quali SO","Round Robin","3","Münchner Kindl U17","2","0","2","7","22","-15"
"U17 Quali NO","Round Robin","1","Disckick","3","3","0","27","14","13"
"U17 Quali NO","Round Robin","2","Pizza Volante","3","2","1","27","14","13"
"U17 Quali NO","Round Robin","3","Drehst'n Deckel","3","1","2","18","30","-12"
"U17 Quali NO","Round Robin","4","Pizza Volante II","3","0","3","14","28","-14"
"U17 Quali NO","Finale","1","Disckick","1","1","0","9","6","3"
"U17 Quali NO","Finale","2","Pizza Volante","1","0","1","6","9","-3"
"U17 Quali NO","Finale 3-4","1","Drehst'n Deckel","1","1","0","10","5","5"
"U17 Quali NO","Finale 3-4","2","Pizza Volante II","1","0","1","5","10","-5"
"U17 Quali SW","Round Robin","1","Lions","5","5","0","55","12","43"
"U17 Quali SW","Round Robin","2","Bad Raps","5","4","1","42","17","25"
"U17 Quali SW","Round Robin","3","Piratos","5","3","2","27","27","0"
"U17 Quali SW","Round Robin","4","Kirchheim Ultimate Juniors","5","2","3","24","34","-10"
"U17 Quali SW","Round Robin","5","Eintracht Frankfurt","5","1","4","18","41","-23"
"U17 Quali SW","Round Robin","6","Disconnection Kirchzarten","5","0","5","12","47","-35"
"U17 Quali NW","Round Robin","1","UFO","5","5","0","40","18","22"
"U17 Quali NW","Round Robin","2","TV Südkamen","5","4","1","40","19","21"
"U17 Quali NW","Round Robin","3","Cologne Colibris","5","3","2","35","29","6"
"U17 Quali NW","Round Robin","4","Äitschbees","5","2","3","33","31","2"
"U17 Quali NW","Round Robin","5","Seans's Sheep","5","1","4","21","46","-25"
"U17 Quali NW","Round Robin","6","TV Verl","5","0","5","15","41","-26"
"U14 Quali NO","Round Robin","1","Disckick","4","4","0","34","12","22"
"U14 Quali NO","Round Robin","2","Pizza Volante","4","3","1","32","15","17"
"U14 Quali NO","Round Robin","3","Disckick II","4","2","2","23","22","1"
"U14 Quali NO","Round Robin","4","Pizza Volante II","4","1","3","16","32","-16"
"U14 Quali NO","Round Robin","5","Endzonis","4","0","4","9","33","-24"
"U14 Quali SW","Round Robin","1","Heppie Frisbeez","2","2","0","21","2","19"
"U14 Quali SW","Round Robin","2","Bad Raps","2","1","1","9","11","-2"
"U14 Quali SW","Round Robin","3","Piratos","2","0","2","2","19","-17"
"U14 Quali NW","Round Robin","1","Äitschbees I","4","4","0","41","9","32"
"U14 Quali NW","Round Robin","2","TV Verl","4","3","1","26","24","2"
"U14 Quali NW","Round Robin","3","Seans's Sheep","4","2","2","29","23","6"
"U14 Quali NW","Round Robin","4","Äitschbees II","4","1","3","15","35","-20"
"U14 Quali NW","Round Robin","5","Cologne Colibris","4","0","4","15","35","-20"
"U14 Quali SO","Round Robin","1","Juniorwolves/Lufos","2","2","0","25","3","22"
"U14 Quali SO","Round Robin","2","MuH - Mir uss Haldawang","2","1","1","8","14","-6"
"U14 Quali SO","Round Robin","3","Ultimate am See","2","0","2","3","19","-16"
