"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2021-09-04 16:00:00",,,"Seed #2","Seed #3",,,"Pool A","DMO21_5er","1","X5","Wilhelmshaven",
"2021-09-04 11:00:00",,,"Seed #4","Seed #2",,,"Pool A","DMO21_5er","2","X5","Wilhelmshaven",
"2021-09-04 13:30:00",,,"Seed #5","Seed #3",,,"Pool A","DMO21_5er","2","X5","Wilhelmshaven",
"2021-09-04 16:00:00",,,"Seed #4","Seed #5",,,"Pool A","DMO21_5er","2","X5","Wilhelmshaven",
"2021-09-05 09:00:00","Pool B 4","Pool A 3","Hucks Ultimate Club Berlin","Maultaschen Tübingen","15","13","Finale 5-7","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-05 10:40:00","Pool A 1","Pool B 2","Frau Rauscher & the Bembelboys","Next Generation Nürnberg","15","10","Finale 1-4","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-05 12:20:00","Pool A 3","Pool B 3","Maultaschen Tübingen","Disckick Berlin","15","12","Finale 5-7","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2","Frau Rauscher & the Bembelboys","Dein Mudder Bremen","11","15","Finale 1-4 Finals","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-05 10:40:00","Pool B 1","Pool A 2","Dein Mudder Bremen","Nullacht! Ultimate Münster","15","10","Finale 1-4","Mixed 1. Liga 9-16","2","mixed1","Münster",
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2","Next Generation Nürnberg","Nullacht! Ultimate Münster","7","15","Finale 1-4 Finals","Mixed 1. Liga 9-16","2","mixed1","Münster",
"2021-09-05 09:00:00","Pool A 3","Pool B 4",,,,,"Finale 5-8","DMO21_8er","1","mixed1","Paderborn",
"2021-09-05 10:40:00","Pool A 1","Pool B 2",,,,,"Finale 1-4","DMO21_8er","1","mixed1","Paderborn",
"2021-09-05 12:20:00","Pool A 3","Pool B 3",,,,,"Finale 5-8","DMO21_8er","1","mixed1","Paderborn",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2",,,,,"Finale 1-4 Finals","DMO21_8er","1","mixed1","Paderborn",
"2021-09-05 09:00:00","Pool B 3","Pool A 4",,,,,"Finale 5-8","DMO21_8er","2","mixed1","Paderborn",
"2021-09-05 10:40:00","Pool B 1","Pool A 2",,,,,"Finale 1-4","DMO21_8er","2","mixed1","Paderborn",
"2021-09-05 12:20:00","Pool A 4","Pool B 4",,,,,"Finale 5-8","DMO21_8er","2","mixed1","Paderborn",
"2021-09-05 14:00:00","SF Loser 1","SF Loser 2",,,,,"Finale 1-4 Finals","DMO21_8er","2","mixed1","Paderborn",
"2021-09-05 09:00:00","Pool A 3","Pool B 4","RotoR Ultimate Berlin","Griffins Lehre","10","14","Finale 5-8","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-05 10:40:00","Pool A 1","Pool B 2","Hund Flach Werfen","Schleudertrauma","12","8","Finale 1-4","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-05 12:20:00","Pool A 3","Pool B 3","RotoR Ultimate Berlin","Saxy Divers","10","13","Finale 5-8","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-05 14:00:00","SF Winner 1","SF Winner 2","Hund Flach Werfen","Pizza Volante","10","15","Finale 1-4 Finals","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-05 09:00:00","Pool B 3","Pool A 4","Saxy Divers","Parkscheibe","15","9","Finale 5-8","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-05 10:40:00","Pool B 1","Pool A 2","Pizza Volante","Hucks Ultimate Club Berlin II","15","7","Finale 1-4","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-05 12:20:00","Pool A 4","Pool B 4","Parkscheibe","Griffins Lehre","8","15","Finale 5-8","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
